[09:12:36 INF] Usage: Total CPU 5.83% | App CPU 1.41% | App Heap 5.26MB
[09:12:37 INF] Usage: Total CPU 5.42% | App CPU 0.00% | App Heap 5.27MB
[09:12:38 INF] Usage: Total CPU 5.43% | App CPU 0.06% | App Heap 5.27MB
[09:12:39 INF] Usage: Total CPU 2.32% | App CPU 0.06% | App Heap 5.27MB
[09:12:40 INF] Usage: Total CPU 6.39% | App CPU 0.00% | App Heap 5.26MB
[09:12:41 INF] Usage: Total CPU 6.90% | App CPU 0.00% | App Heap 5.26MB
[09:12:42 INF] Usage: Total CPU 5.55% | App CPU 0.06% | App Heap 5.25MB
[09:12:43 INF] Usage: Total CPU 2.60% | App CPU 0.00% | App Heap 5.26MB
[09:12:44 INF] Usage: Total CPU 6.41% | App CPU 0.00% | App Heap 5.25MB
[09:12:45 INF] Usage: Total CPU 4.46% | App CPU 0.00% | App Heap 5.26MB
[09:12:46 INF] Usage: Total CPU 5.69% | App CPU 0.00% | App Heap 5.26MB
[09:12:47 INF] Usage: Total CPU 6.08% | App CPU 0.00% | App Heap 5.25MB
[09:12:48 INF] Usage: Total CPU 2.66% | App CPU 0.00% | App Heap 5.25MB
[09:12:49 INF] Usage: Total CPU 6.31% | App CPU 0.00% | App Heap 5.26MB
[09:12:50 INF] Usage: Total CPU 5.10% | App CPU 0.00% | App Heap 5.26MB
[09:12:51 INF] Usage: Total CPU 4.85% | App CPU 0.00% | App Heap 5.26MB
[09:12:52 INF] Usage: Total CPU 5.85% | App CPU 0.00% | App Heap 5.26MB
[09:12:53 INF] Usage: Total CPU 5.42% | App CPU 0.06% | App Heap 5.26MB
[09:12:54 INF] Usage: Total CPU 1.65% | App CPU 0.00% | App Heap 5.26MB
[09:12:55 INF] Usage: Total CPU 7.18% | App CPU 0.00% | App Heap 5.25MB
[09:12:56 INF] Usage: Total CPU 7.85% | App CPU 0.00% | App Heap 5.25MB
[09:12:57 INF] Usage: Total CPU 7.85% | App CPU 0.06% | App Heap 5.25MB
[09:12:58 INF] Usage: Total CPU 8.08% | App CPU 0.00% | App Heap 5.25MB
[09:12:59 INF] Usage: Total CPU 8.42% | App CPU 0.00% | App Heap 5.25MB
[09:13:00 INF] Usage: Total CPU 9.01% | App CPU 0.00% | App Heap 5.25MB
[09:13:01 INF] Usage: Total CPU 8.75% | App CPU 0.00% | App Heap 5.25MB
[09:13:02 INF] Usage: Total CPU 3.62% | App CPU 0.00% | App Heap 5.26MB
[09:13:03 INF] Usage: Total CPU 1.52% | App CPU 0.06% | App Heap 5.26MB
[09:13:04 INF] Usage: Total CPU 4.78% | App CPU 1.54% | App Heap 5.25MB
[09:13:05 INF] Usage: Total CPU 3.28% | App CPU 1.54% | App Heap 5.26MB
